Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2057 -0.011553307344968289 -2.179302378470936 0.0 0.0 0.0 0.0 0.053597340949568945 0.020046329525215525 0 0.03355101142435342 1.34204046 2.22044605e-16 0.90208483 1.74296705 3.98709233 
2058 0.009058156831031283 -2.170244221639905 0.0 0.0 0.0 0.0 0.05761029501399761 0.019774852493001194 0 0.03783544252099641 1.5134177 0. 0.88986836 1.90891475 4.31220081 
2059 -0.014536339664971365 -2.1847805613048763 0.0 0.0 0.0 0.0 0.060382500712251784 0.020123749643874107 0 0.04024749928774821 1.60989997 0.00033755 0.90590629 2.01237496 4.52851878 
2060 -0.07499338961400781 -2.259773950918884 0.0 0.0 0.0 0.0 0.061373757668248076 0.02136312116587596 0 0.04001063650237212 1.60042546 0. 0.96134045 2.02768788 4.5894538 
2061 -0.1553961311555554 -2.4151700820744395 0.0 0.0 0.0 0.0 0.06052863829789109 0.023520680851054455 0 0.03700795744683663 1.4803183 0. 1.05843064 1.95073191 4.48948085 
2062 -0.23341328912795234 -2.648583371202392 0.0 0.0 0.0 0.0 0.0582994611159547 0.02637026944202265 0 0.03192919167393205 1.27716767 0. 1.18666212 1.80457306 4.26840285 
2063 -0.2876257536631215 -2.9362091248655133 0.0 0.0 0.0 0.0 0.05551382172292598 0.02949808913853701 0 0.02601573258438897 1.0406293 1.11022302e-16 1.32741401 1.63059109 3.9986344 
2064 -0.30301281019109183 -3.239221935056605 0.0 0.0 0.0 0.0 0.053157104161967145 0.03241144791901643 0 0.020745656242950716 0.82982625 0. 1.45851516 1.47805521 3.76639661 
2065 -0.27505071927060953 -3.5142726543272147 0.0 0.0 0.0 0.0 0.05210538226315982 0.03467230886842009 0 0.017433073394739727 0.69732294 0. 1.5602539 1.39076911 3.64834595 
2066 -0.21089175874686816 -3.725164413074083 0.0 0.0 0.0 0.0 0.0528901720556766 0.0360149139721617 0 0.0168752580835149 0.67501032 1.11022302e-16 1.62067113 1.3953086 3.69099005 
2067 -0.1274423334644439 -3.8526067465385267 0.0 0.0 0.0 0.0 0.05555510183594563 0.03641744908202719 0 0.01913765275391844 0.76550611 0. 1.63878521 1.49385509 3.89814641 
