Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg) Total(Tg) 
2148 -0.16893492581544933 -17.248670924018427 0.0 0.0 0.0 0.0 0.09071781294804004 0.09071781294804004 0 0.0 0. 0. 4.08230158 1.81435626 5.89665784 
2149 -0.1932616618441898 -17.441932585862617 0.0 0.0 0.0 0.0 0.0902059452669654 0.0902059452669654 0 0.0 0. 0. 4.05926754 1.80411891 5.86338644 
2150 -0.21693144156910193 -17.65886402743172 0.0 0.0 0.0 0.0 0.08927294291728499 0.08927294291728499 0 0.0 0. 0. 4.01728243 1.78545886 5.80274129 
2151 -0.23922508437027545 -17.898089111801994 0.0 0.0 0.0 0.0 0.08795715021004746 0.08795715021004746 0 0.0 0. 0. 3.95807176 1.759143 5.71721476 
2152 -0.25946522113565607 -18.15755433293765 0.0 0.0 0.0 0.0 0.08630854216045847 0.08630854216045847 0 0.0 0. 0. 3.8838844 1.72617084 5.61005524 
2153 -0.27703687599438354 -18.434591208932034 0.0 0.0 0.0 0.0 0.0843872060458466 0.0843872060458466 0 0.0 0. 0. 3.79742427 1.68774412 5.48516839 
2154 -0.2914061522358793 -18.725997361167913 0.0 0.0 0.0 0.0 0.08226151570471057 0.08226151570471057 0 0.0 0. 0. 3.70176821 1.64523031 5.34699852 
2155 -0.3021364546562495 -19.028133815824162 0.0 0.0 0.0 0.0 0.08000605405020844 0.08000605405020844 0 0.0 0. 0. 3.60027243 1.60012108 5.20039351 
2156 -0.30890175542657516 -19.337035571250738 0.0 0.0 0.0 0.0 0.07769934692180519 0.07769934692180519 0 0.0 0. 0. 3.49647061 1.55398694 5.05045755 
2157 -0.3114965004098167 -19.648532071660554 0.0 0.0 0.0 0.0 0.07542147713111219 0.07542147713111219 0 0.0 0. 0. 3.39396647 1.50842954 4.90239601 
2158 -0.3098418549290045 -19.95837392658956 0.0 0.0 0.0 0.0 0.07325165119821025 0.07325165119821025 0 0.0 0. 0. 3.2963243 1.46503302 4.76135733 
2159 -0.30398809921598513 -20.262362025805544 0.0 0.0 0.0 0.0 0.07126579271210598 0.07126579271210598 0 0.0 0. 0. 3.20696067 1.42531585 4.63227653 
2160 -0.29411310075556685 -20.55647512656111 0.0 0.0 0.0 0.0 0.06953423544010479 0.06953423544010479 0 0.0 0. 0. 3.12904059 1.39068471 4.5197253 
2161 -0.2805169099461864 -20.836992036507297 0.0 0.0 0.0 0.0 0.06811958627990122 0.06811958627990122 0 0.0 0. 0. 3.06538138 1.36239173 4.42777311 
2162 -0.2636126432846595 -21.100604679791957 0.0 0.0 0.0 0.0 0.06707482298769796 0.06707482298769796 0 0.0 0. 0. 3.01836703 1.34149646 4.35986349 
2163 -0.24391393108641068 -21.344518610878367 0.0 0.0 0.0 0.0 0.06644168448204452 0.06644168448204452 0 0.0 0. 0. 2.9898758 1.32883369 4.31870949 
2164 -0.22201931113824003 -21.566537922016607 0.0 0.0 0.0 0.0 0.06624940263326629 0.06624940263326629 0 0.0 0. 0. 2.98122312 1.32498805 4.30621117 
2165 -0.19859404247279144 -21.7651319644894 0.0 0.0 0.0 0.0 0.06651381407259188 0.06651381407259188 0 0.0 0. 0. 2.99312163 1.33027628 4.32339791 
2166 -0.17434989184755523 -21.939481856336954 0.0 0.0 0.0 0.0 0.0672368790082235 0.0672368790082235 0 0.0 0. 0. 3.02565956 1.34473758 4.37039714 
